Condition,Item,Sentence,Verb,Target,Distractor,Last_Mentioned,Cloze,Cloze_distractor,Cloze_C_alternative,Cloze_round,Plaus_target_avg,Plaus_dist_avg,Cloze_C_alternative_Francesca,Surprisal_target,Surprisal_distractor,LeoLM_tar,LeoLM_dist
C,34,Dann versiegelte der Händler,versiegelte,Sklaven,Gewürzen,target,0,0.06666666667,0.2,2,1.5,1.9,0.266666667,6.360876083,5.960035324,5.92674001818523,1.17622822662815
A,35,Dann drückte das Kind,drückte,Teddybär,Ladenbesitzer,target,0.6666666667,0.3333333333,,,6.5,5.9,,0.4483609051,9.105771303,1.12809375510551,2.22038436576258
B,35,Dann fand das Kind,fand,Teddybär,Ladenbesitzer,target,NA,NA,,,3.6,2.9,,0.6812002361,9.641131163,2.77393130678684,3.32314360816963
C,35,Dann bastelte das Kind,bastelte,Teddybär,Ladenbesitzer,target,0.2,0,0.2,,2.5,2.1,0.2,0.4955222607,16.8506465,1.07591436547227,3.36070684390143
A,36,Daraufhin entlohnte die Hundeliebhaberin,entlohnte,Nachbarn,Welpe,target,1,0,,1,6,3.1,,5.053026199,2.967388153,0.0699071128037758,11.3696260899305
B,36,Daraufhin erkannte die Hundeliebhaberin,erkannte,Nachbarn,Welpe,target,NA,NA,,,5.6,3.9,,5.744877815,3.520260096,4.35091863945127,1.33707380644046
C,36,Daraufhin sortierte die Hundeliebhaberin,sortierte,Nachbarn,Welpe,target,0,0.1333333333,0.2,,1.9,1.6,0.2,10.94464397,1.254410148,5.88933392614126,1.68976808735169
A,37,Dann bemitleidete der Schuhverkäufer,bemitleidete,Kunden,Dieb,distractor,0.6666666667,0.3333333333,,2,5.4,1.4,,4.201681137,0.2838433683,0.921417353674769,4.93436037376523
B,37,Dann schickte der Schuhverkäufer,schickte,Kunden,Dieb,distractor,NA,NA,,,3.1,2,,6.752553463,0.3018228114,0.750762348994613,1.65521564520895
C,37,Dann hinterlegte der Schuhverkäufer,hinterlegte,Kunden,Dieb,distractor,0,0.06666666667,0.2,,1.7,1.5,0.2,6.652354717,5.605090141,6.92288148403168,5.5332772731781
A,38,Dann ermahnte der Eskimo,ermahnte,Freundin,Robbe,target,0.9333333333,0,,2,4.4,1.8,,3.848152399,0.2456560452,0.0837722920114175,7.02743858657777
B,38,Dann versteckte der Eskimo,versteckte,Freundin,Robbe,target,NA,NA,,,2.6,1.8,,9.841895103,0.1996937575,0.276804597466253,4.15764396963641
C,38,Dann verpackte der Eskimo,verpackte,Freundin,Robbe,target,0,0.2,0.2666666667,,1.9,3.2,0.266666667,9.497258186,0.2603636472,1.16617262898944,1.51419208478183
A,39,Dann vergütete die Tänzerin,vergütete,Babysitterin,Tochter,target,0.9333333333,0,,2,7,1.8,,2.303683832,8.625150681,0.134013562637847,10.6535243988037
B,39,Dann testete die Tänzerin,testete,Babysitterin,Tochter,target,NA,NA,,,3.7,1.1,,3.779613033,8.212377548,3.86046095495112,11.5183610916138
C,39,Dann stapelte die Tänzerin,stapelte,Babysitterin,Tochter,target,0,0,0.2666666667,,1.3,1.2,0.266666667,4.952951133,9.747509003,8.27812475711107,15.4860877990723
A,40,Dann verhandelte der Minister mit,verhandelte,Präsidenten,Berater,target,1,0,,,6.3,4.4,,1.249210238,7.295618534,0.18897003447637,5.98592133657075
B,40,Dann investierte der Minister mit,investierte,Präsidenten,Berater,target,NA,NA,,2,3,2.9,,3.674531698,4.200386524,3.22644578898326,2.09401730308309
C,40,Dann schminkte sich der Minister mit,schminkte,Präsidenten,Berater,target,0,0,0.2,,1.1,3,0.2,1.211095572,10.68512917,5.00213725864887,7.01296347007155
A,41,Im Hotel polierte die Trainerin,polierte,Pokal,Athlet,target,1,0,,2,6.3,1.3,,0.1702056676,16.14507103,0.136393423890695,15.1310453414917
B,41,Im Hotel bezahlte die Trainerin,bezahlte,Pokal,Athlet,target,NA,NA,,,2.7,1.9,,1.428843141,10.55680561,1.21395263704471,2.62143111228943
C,41,Im Hotel verspeiste die Trainerin,verspeiste,Pokal,Athlet,target,0,0,0.2666666667,,1.1,1.4,0.266666667,1.315659881,15.39117146,2.59233165439218,10.739990234375
A,42,Daraufhin nahm der Autor,nahm,Ball,Hund,target,0.9333333333,0,,2,7,1.8,,2.095377684,0.6420156956,0.13249671459198,3.8176303897053
B,42,Daraufhin tauschte der Autor,tauschte,Ball,Hund,target,NA,NA,,,4.3,1.1,,0.3203244805,3.364237785,0.205542385578156,5.04707322642207
C,42,Daraufhin zitierte der Autor,zitierte,Ball,Hund,target,0,0,0.2,,1.9,1.7,0.266666667,6.535190582,0.8912940025,4.19769525527954,0.472764476435259
A,43,Daraufhin fütterte die Oma,fütterte,Kanninchen,Kleinkind,distractor,0.9333333333,0,,1,5.8,3.9,,0.2269374728,3.8815814,0.377441841439577,2.7569004537072
B,43,Daraufhin entdeckte die Oma,entdeckte,Kanninchen,Kleinkind,distractor,NA,NA,,,4.5,5.6,,0.5666106939,4.209134005,2.04971314955037,5.9436475855764
